PRCE_REG_YMD,MRKT_ESNT_NO,MRKT_CODE,MRKT_NM,CTNP_CODE,CTNP_NM,SGGU_CODE,SGGU_NM,PDLT_CODE,PDLT_NM,SPCS_CODE,SPCS_NM,WSRT_EXMN_SE_CODE,EXMN_SE_NM,BULK_GRAD_CODE,BULK_GRAD_NM,PDLT_PRCE,MTC_SMT_UNIT_MG,MTC_SMT_UNIT_NM,WHSL_SMT_UNIT_MG,WHSL_SMT_UNIT_NM,DCNT_PRCE_YN,ETL_LDG_DT
20240507,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,61600,1,kg,10.0,kg,N,20240522070536
20240508,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,61600,1,kg,10.0,kg,N,20240523070554
20240509,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,61600,1,kg,10.0,kg,N,20240524070546
20240510,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,61600,1,kg,10.0,kg,N,20240525070546
20240513,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,61600,1,kg,10.0,kg,N,20240528070601
20240514,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,61600,1,kg,10.0,kg,N,20240529070534
20240516,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,61600,1,kg,10.0,kg,N,20240531070600
20240517,21,250112,역전,25,대전,2501,대전,244,피마늘,3,한지,2,도매,4,상품,61600,1,kg,10.0,kg,N,20240601070544
20240724,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,47500,,,10.0,kg,N,20240808120630
20240725,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,47500,,,10.0,kg,N,20240809120625
20240726,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,47500,,,10.0,kg,N,20240812014658
20240729,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240813120632
20240730,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240814120651
20240731,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240816010622
20240801,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240816104621
20240802,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240820011634
20240805,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240820104627
20240806,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240821114630
20240807,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240822104626
20240808,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240823104625
20240809,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240826010152
20240812,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240827104705
20240813,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240828114654
20240814,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240829104636
20240816,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240902123055
20240819,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240903104602
20240820,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240904024615
20240821,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240905120057
20240822,21,250112,역전,25,대전,2501,대전,244,피마늘,22,난지(대서),2,도매,4,상품,48300,,,10.0,kg,N,20240906110101
